競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
園田,5,単勝オッズ帯,O2（3.0〜6.9倍）,101.0,18.0,37,52,17.8,36.6,51.5
園田,5,単勝オッズ帯,O3（7.0〜14.9倍）,81.0,8.0,22,32,9.9,27.2,39.5
園田,5,単勝オッズ帯,O4（15〜29.9倍）,70.0,2.0,8,18,2.9,11.4,25.7
園田,5,単勝オッズ帯,O5（30倍以上）,242.0,2.0,8,15,0.8,3.3,6.2
園田,6,単勝オッズ帯,O1（1〜2.9倍）,121.0,53.0,76,90,43.8,62.8,74.4
園田,6,単勝オッズ帯,O2（3.0〜6.9倍）,121.0,18.0,44,60,14.9,36.4,49.6
園田,6,単勝オッズ帯,O3（7.0〜14.9倍）,147.0,16.0,37,63,10.9,25.2,42.9
園田,6,単勝オッズ帯,O4（15〜29.9倍）,149.0,2.0,16,38,1.3,10.7,25.5
園田,6,単勝オッズ帯,O5（30倍以上）,421.0,7.0,19,37,1.7,4.5,8.8
園田,7,単勝オッズ帯,O1（1〜2.9倍）,67.0,26.0,46,56,38.8,68.7,83.6
園田,7,単勝オッズ帯,O2（3.0〜6.9倍）,106.0,23.0,41,61,21.7,38.7,57.5
園田,7,単勝オッズ帯,O3（7.0〜14.9倍）,77.0,6.0,14,24,7.8,18.2,31.2
園田,7,単勝オッズ帯,O4（15〜29.9倍）,77.0,0.0,4,17,0.0,5.2,22.1
園田,7,単勝オッズ帯,O5（30倍以上）,213.0,0.0,5,7,0.0,2.3,3.3
園田,8,単勝オッズ帯,O1（1〜2.9倍）,135.0,67.0,101,114,49.6,74.8,84.4
園田,8,単勝オッズ帯,O2（3.0〜6.9倍）,113.0,21.0,44,61,18.6,38.9,54.0
園田,8,単勝オッズ帯,O3（7.0〜14.9倍）,111.0,14.0,28,47,12.6,25.2,42.3
園田,8,単勝オッズ帯,O4（15〜29.9倍）,165.0,2.0,15,41,1.2,9.1,24.8
園田,8,単勝オッズ帯,O5（30倍以上）,493.0,0.0,21,49,0.0,4.3,9.9
園田,9,単勝オッズ帯,O1（1〜2.9倍）,65.0,33.0,45,56,50.8,69.2,86.2
園田,9,単勝オッズ帯,O2（3.0〜6.9倍）,77.0,16.0,33,46,20.8,42.9,59.7
園田,9,単勝オッズ帯,O3（7.0〜14.9倍）,78.0,4.0,18,28,5.1,23.1,35.9
園田,9,単勝オッズ帯,O4（15〜29.9倍）,74.0,0.0,3,15,0.0,4.1,20.3
園田,9,単勝オッズ帯,O5（30倍以上）,234.0,1.0,9,17,0.4,3.8,7.3
園田,10,単勝オッズ帯,O1（1〜2.9倍）,70.0,33.0,49,56,47.1,70.0,80.0
園田,10,単勝オッズ帯,O2（3.0〜6.9倍）,71.0,10.0,33,46,14.1,46.5,64.8
園田,10,単勝オッズ帯,O3（7.0〜14.9倍）,55.0,5.0,11,26,9.1,20.0,47.3
園田,10,単勝オッズ帯,O4（15〜29.9倍）,61.0,1.0,4,12,1.6,6.6,19.7
園田,10,単勝オッズ帯,O5（30倍以上）,229.0,2.0,5,13,0.9,2.2,5.7
園田,11,単勝オッズ帯,O1（1〜2.9倍）,17.0,10.0,15,15,58.8,88.2,88.2
園田,11,単勝オッズ帯,O2（3.0〜6.9倍）,20.0,2.0,8,13,10.0,40.0,65.0
園田,11,単勝オッズ帯,O3（7.0〜14.9倍）,18.0,1.0,4,8,5.6,22.2,44.4
園田,11,単勝オッズ帯,O4（15〜29.9倍）,11.0,1.0,2,4,9.1,18.2,36.4
園田,11,単勝オッズ帯,O5（30倍以上）,61.0,1.0,1,5,1.6,1.6,8.2
園田,12,単勝オッズ帯,O1（1〜2.9倍）,53.0,24.0,39,49,45.3,73.6,92.5
園田,12,単勝オッズ帯,O2（3.0〜6.9倍）,22.0,3.0,8,13,13.6,36.4,59.1
園田,12,単勝オッズ帯,O3（7.0〜14.9倍）,36.0,1.0,7,16,2.8,19.4,44.4
園田,12,単勝オッズ帯,O4（15〜29.9倍）,44.0,1.0,5,9,2.3,11.4,20.5
園田,12,単勝オッズ帯,O5（30倍以上）,148.0,3.0,5,9,2.0,3.4,6.1
園田,13,単勝オッズ帯,O1（1〜2.9倍）,34.0,16.0,22,27,47.1,64.7,79.4
園田,13,単勝オッズ帯,O2（3.0〜6.9倍）,22.0,4.0,13,17,18.2,59.1,77.3
園田,13,単勝オッズ帯,O3（7.0〜14.9倍）,16.0,0.0,1,4,0.0,6.2,25.0
園田,13,単勝オッズ帯,O4（15〜29.9倍）,24.0,2.0,4,6,8.3,16.7,25.0
園田,13,単勝オッズ帯,O5（30倍以上）,86.0,0.0,4,12,0.0,4.7,14.0
