index,RPT,総合ランク,Web_複勝期待値_レンジ,試行回数,複勝的中数,複勝投資額,複勝払戻額,複勝的中率(%),複勝回収率(%),単勝的中数,単勝投資額,単勝払戻額,単勝的中率(%),単勝回収率(%)
890,8,E,"[0.75, 0.8)",26,5,2600,2070,19.23076923,79.61538462,0,2600,0,0,0
891,8,E,"[0.8, 0.85)",20,0,2000,0,0,0,0,2000,0,0,0
892,8,E,"[0.85, 0.9)",17,2,1700,630,11.76470588,37.05882353,1,1700,1960,5.882352941,115.2941176
893,8,E,"[0.9, 0.95)",17,2,1700,1170,11.76470588,68.82352941,1,1700,700,5.882352941,41.17647059
894,8,E,"[0.95, 1.0)",10,1,1000,270,10,27,1,1000,980,10,98
895,8,E,"[1.0, 1.05)",8,3,800,1380,37.5,172.5,0,800,0,0,0
896,8,E,"[1.05, 1.1)",5,2,500,910,40,182,0,500,0,0,0
897,8,E,"[1.1, 1.15)",5,1,500,510,20,102,0,500,0,0,0
898,8,E,"[1.15, 1.2)",1,0,100,0,0,0,0,100,0,0,0
899,8,E,"[1.2, 1.4)",4,1,400,650,25,162.5,0,400,0,0,0
900,8,E,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
901,8,E,"[2.0, 100.0)",3,0,300,0,0,0,0,300,0,0,0
902,8,F,"[0.0, 0.25)",44,1,4400,1430,2.272727273,32.5,0,4400,0,0,0
903,8,F,"[0.25, 0.5)",165,10,16500,10650,6.060606061,64.54545455,0,16500,0,0,0
904,8,F,"[0.5, 0.75)",172,12,17200,11060,6.976744186,64.30232558,2,17200,3630,1.162790698,21.10465116
905,8,F,"[0.75, 0.8)",19,2,1900,930,10.52631579,48.94736842,1,1900,1510,5.263157895,79.47368421
906,8,F,"[0.8, 0.85)",16,1,1600,400,6.25,25,0,1600,0,0,0
907,8,F,"[0.85, 0.9)",16,1,1600,930,6.25,58.125,0,1600,0,0,0
908,8,F,"[0.9, 0.95)",8,0,800,0,0,0,0,800,0,0,0
909,8,F,"[0.95, 1.0)",6,2,600,900,33.33333333,150,0,600,0,0,0
910,8,F,"[1.0, 1.05)",4,0,400,0,0,0,0,400,0,0,0
911,8,F,"[1.05, 1.1)",2,0,200,0,0,0,0,200,0,0,0
912,8,F,"[1.1, 1.15)",2,0,200,0,0,0,0,200,0,0,0
