競馬場,データ種別,総合ランク,単勝オッズ帯,出走数,勝率,連対率,複勝率
浦和,総合ランクオッズ別,C,50.0～99.9,193.0,0.5,2.1,8.3
浦和,総合ランクオッズ別,C,100.0～1000.0,86.0,1.2,3.5,3.5
浦和,総合ランクオッズ別,D,1.0～1.4,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,D,1.5～1.9,3.0,0.0,0.0,66.7
浦和,総合ランクオッズ別,D,2.0～2.9,29.0,24.1,51.7,65.5
浦和,総合ランクオッズ別,D,3.0～3.9,92.0,21.7,38.0,51.1
浦和,総合ランクオッズ別,D,4.0～4.9,129.0,19.4,31.0,42.6
浦和,総合ランクオッズ別,D,5.0～6.9,341.0,12.0,26.4,38.7
浦和,総合ランクオッズ別,D,7.0～9.9,472.0,9.5,23.7,37.5
浦和,総合ランクオッズ別,D,10.0～14.9,589.0,5.8,17.0,27.2
浦和,総合ランクオッズ別,D,15.0～19.9,430.0,5.3,14.9,26.3
浦和,総合ランクオッズ別,D,20.0～29.9,537.0,3.0,9.5,19.7
浦和,総合ランクオッズ別,D,30.0～49.9,544.0,2.2,7.0,15.8
浦和,総合ランクオッズ別,D,50.0～99.9,428.0,0.9,4.4,10.7
浦和,総合ランクオッズ別,D,100.0～1000.0,255.0,0.8,2.4,3.1
浦和,総合ランクオッズ別,E,1.0～1.4,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,E,1.5～1.9,1.0,100.0,100.0,100.0
浦和,総合ランクオッズ別,E,2.0～2.9,8.0,12.5,37.5,50.0
浦和,総合ランクオッズ別,E,3.0～3.9,15.0,20.0,46.7,60.0
浦和,総合ランクオッズ別,E,4.0～4.9,59.0,20.3,45.8,50.8
浦和,総合ランクオッズ別,E,5.0～6.9,158.0,15.8,32.3,42.4
浦和,総合ランクオッズ別,E,7.0～9.9,270.0,11.1,24.4,40.0
浦和,総合ランクオッズ別,E,10.0～14.9,439.0,8.9,18.7,30.3
浦和,総合ランクオッズ別,E,15.0～19.9,343.0,6.1,14.3,24.5
浦和,総合ランクオッズ別,E,20.0～29.9,474.0,4.4,11.0,24.1
浦和,総合ランクオッズ別,E,30.0～49.9,659.0,1.5,5.6,13.1
浦和,総合ランクオッズ別,E,50.0～99.9,631.0,1.1,3.5,8.4
浦和,総合ランクオッズ別,E,100.0～1000.0,487.0,0.2,2.1,5.3
浦和,総合ランクオッズ別,F,1.0～1.4,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,F,1.5～1.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,F,2.0～2.9,3.0,33.3,66.7,66.7
浦和,総合ランクオッズ別,F,3.0～3.9,8.0,12.5,12.5,37.5
浦和,総合ランクオッズ別,F,4.0～4.9,13.0,7.7,23.1,30.8
浦和,総合ランクオッズ別,F,5.0～6.9,64.0,14.1,31.3,45.3
浦和,総合ランクオッズ別,F,7.0～9.9,127.0,9.4,23.6,43.3
浦和,総合ランクオッズ別,F,10.0～14.9,247.0,7.7,19.4,27.9
浦和,総合ランクオッズ別,F,15.0～19.9,269.0,4.1,11.2,23.0
浦和,総合ランクオッズ別,F,20.0～29.9,542.0,2.4,9.8,14.6
浦和,総合ランクオッズ別,F,30.0～49.9,843.0,2.3,6.8,12.2
浦和,総合ランクオッズ別,F,50.0～99.9,,1.0,3.5,7.1
浦和,総合ランクオッズ別,F,100.0～1000.0,,0.5,0.8,2.2
浦和,総合ランクオッズ別,G,1.0～1.4,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,G,1.5～1.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,G,2.0～2.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,G,3.0～3.9,1.0,0.0,100.0,100.0
浦和,総合ランクオッズ別,G,4.0～4.9,1.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,G,5.0～6.9,8.0,12.5,37.5,50.0
浦和,総合ランクオッズ別,G,7.0～9.9,12.0,0.0,25.0,41.7
浦和,総合ランクオッズ別,G,10.0～14.9,27.0,0.0,7.4,7.4
浦和,総合ランクオッズ別,G,15.0～19.9,34.0,2.9,8.8,14.7
浦和,総合ランクオッズ別,G,20.0～29.9,98.0,4.1,10.2,15.3
浦和,総合ランクオッズ別,G,30.0～49.9,150.0,2.7,4.7,11.3
浦和,総合ランクオッズ別,G,50.0～99.9,395.0,0.3,0.8,4.1
浦和,総合ランクオッズ別,G,100.0～1000.0,,0.3,0.5,1.4
園田,総合ランクオッズ別,SSS,1.0～1.4,,65.5%,82.3%,90.6%
園田,総合ランクオッズ別,SSS,1.5～1.9,,49.1%,67.7%,80.4%
園田,総合ランクオッズ別,SSS,2.0～2.9,,34.9%,57.0%,68.5%
園田,総合ランクオッズ別,SSS,3.0～,,27.5%,41.3%,57.5%
園田,総合ランクオッズ別,SS,1.0～1.9,,58.1%,77.5%,86.3%
園田,総合ランクオッズ別,SS,2.0～2.9,,32.0%,55.2%,66.9%
園田,総合ランクオッズ別,SS,3.0～,,17.9%,39.3%,53.2%
園田,総合ランクオッズ別,S,1.0～1.9,,54.3%,75.6%,85.6%
園田,総合ランクオッズ別,S,2.0～2.9,,32.8%,55.5%,71.9%
園田,総合ランクオッズ別,S,3.0～3.9,,25.2%,44.5%,57.7%
園田,総合ランクオッズ別,S,4.0～5.9,,11.8%,32.4%,53.8%
園田,総合ランクオッズ別,S,6.0～,,7.0%,17.8%,34.8%
園田,総合ランクオッズ別,AA,1.0～1.9,,53.8%,77.2%,88.4%
園田,総合ランクオッズ別,AA,2.0～2.9,,29.3%,54.1%,69.5%
園田,総合ランクオッズ別,AA,3.0～3.9,,24.2%,44.6%,57.2%
園田,総合ランクオッズ別,AA,4.0～4.9,,15.0%,31.4%,48.7%
園田,総合ランクオッズ別,AA,5.0～6.9,,14.9%,35.7%,50.6%
園田,総合ランクオッズ別,AA,7.0～,,10.3%,20.2%,32.1%
園田,総合ランクオッズ別,A,1.0～2.9,,41.2%,64.3%,77.1%
園田,総合ランクオッズ別,A,3.0～3.9,,21.9%,44.4%,59.7%
園田,総合ランクオッズ別,A,4.0～4.9,,17.0%,41.0%,59.3%
園田,総合ランクオッズ別,A,5.0～6.9,,10.1%,30.6%,45.7%
園田,総合ランクオッズ別,A,7.0～9.9,,9.8%,25.7%,39.7%
園田,総合ランクオッズ別,A,10.0～,,4.4%,14.6%,26.9%
園田,総合ランクオッズ別,B,1.0～2.9,,31.0%,57.4%,71.3%
園田,総合ランクオッズ別,B,3.0～3.9,,25.3%,47.9%,64.3%
園田,総合ランクオッズ別,B,4.0～4.9,,16.2%,38.1%,53.3%
園田,総合ランクオッズ別,B,5.0～6.9,,12.7%,32.4%,48.2%
園田,総合ランクオッズ別,B,7.0～9.9,,8.5%,21.9%,38.4%
園田,総合ランクオッズ別,B,10.0～14.9,,7.4%,20.5%,34.6%
園田,総合ランクオッズ別,B,15.0～19.9,,3.2%,13.4%,26.1%
園田,総合ランクオッズ別,B,20.0～29.9,,3.0%,10.6%,22.6%
園田,総合ランクオッズ別,B,30.0～49.9,,3.8%,9.2%,17.4%
園田,総合ランクオッズ別,B,50.0～99.9,,0.0%,2.3%,5.4%
園田,総合ランクオッズ別,B,100.0～,,0.0%,1.2%,1.2%
園田,総合ランクオッズ別,C,1.0～1.4,,100.0%,100.0%,100.0%
園田,総合ランクオッズ別,C,1.5～1.9,,9.1%,27.3%,54.5%
園田,総合ランクオッズ別,C,2.0～2.9,,31.0%,44.8%,60.9%
園田,総合ランクオッズ別,C,3.0～3.9,,19.1%,43.9%,60.0%
園田,総合ランクオッズ別,C,4.0～4.9,,17.9%,40.2%,51.6%
園田,総合ランクオッズ別,C,5.0～6.9,,10.9%,28.2%,47.3%
園田,総合ランクオッズ別,C,7.0～9.9,,9.6%,25.4%,41.3%
園田,総合ランクオッズ別,C,10.0～14.9,,6.4%,18.8%,36.2%
園田,総合ランクオッズ別,C,15.0～19.9,,5.5%,14.1%,26.7%
園田,総合ランクオッズ別,C,20.0～29.9,,2.1%,11.1%,22.5%
園田,総合ランクオッズ別,C,30.0～49.9,,2.2%,6.6%,16.9%
園田,総合ランクオッズ別,C,50.0～99.9,,1.8%,8.0%,15.2%
園田,総合ランクオッズ別,C,100.0～,,0.0%,1.9%,3.2%
園田,総合ランクオッズ別,D,1.0～1.4,,100.0%,100.0%,100.0%
園田,総合ランクオッズ別,D,1.5～1.9,,0.0%,100.0%,100.0%
園田,総合ランクオッズ別,D,2.0～2.9,,28.1%,38.6%,56.1%
園田,総合ランクオッズ別,D,3.0～3.9,,24.4%,48.9%,67.2%
園田,総合ランクオッズ別,D,4.0～4.9,,12.3%,35.5%,54.0%
園田,総合ランクオッズ別,D,5.0～6.9,,14.1%,29.8%,47.8%
園田,総合ランクオッズ別,D,7.0～9.9,,10.7%,24.7%,39.6%
園田,総合ランクオッズ別,D,10.0～14.9,,6.7%,17.2%,32.1%
園田,総合ランクオッズ別,D,15.0～19.9,,5.7%,15.3%,29.8%
園田,総合ランクオッズ別,D,20.0～29.9,,3.2%,9.8%,21.6%
園田,総合ランクオッズ別,D,30.0～49.9,,2.2%,8.4%,17.0%
園田,総合ランクオッズ別,D,50.0～99.9,,0.7%,4.1%,10.6%
園田,総合ランクオッズ別,D,100.0～,,0.2%,1.9%,3.4%
園田,総合ランクオッズ別,E,2.0～2.9,,25.0%,50.0%,75.0%
園田,総合ランクオッズ別,E,3.0～3.9,,16.7%,22.2%,38.9%
園田,総合ランクオッズ別,E,4.0～4.9,,20.0%,42.0%,54.0%
園田,総合ランクオッズ別,E,5.0～6.9,,15.4%,34.6%,49.4%
園田,総合ランクオッズ別,E,7.0～9.9,,10.8%,23.2%,38.0%
園田,総合ランクオッズ別,E,10.0～14.9,,6.0%,17.3%,29.2%
園田,総合ランクオッズ別,E,15.0～19.9,,6.6%,15.1%,27.2%
園田,総合ランクオッズ別,E,20.0～29.9,,3.1%,9.6%,21.4%
園田,総合ランクオッズ別,E,30.0～49.9,,2.1%,6.8%,16.2%
園田,総合ランクオッズ別,E,50.0～99.9,,1.2%,4.3%,10.6%
園田,総合ランクオッズ別,E,100.0～,,0.3%,1.7%,4.0%
園田,総合ランクオッズ別,F,3.0～3.9,,16.7%,50.0%,83.3%
園田,総合ランクオッズ別,F,4.0～4.9,,0.0%,0.0%,25.0%
園田,総合ランクオッズ別,F,5.0～6.9,,5.4%,19.6%,44.6%
園田,総合ランクオッズ別,F,7.0～9.9,,9.1%,23.6%,36.4%
園田,総合ランクオッズ別,F,10.0～14.9,,6.8%,16.8%,29.6%
園田,総合ランクオッズ別,F,15.0～19.9,,4.4%,11.9%,21.1%
園田,総合ランクオッズ別,F,20.0～29.9,,3.3%,8.9%,18.9%
園田,総合ランクオッズ別,F,30.0～49.9,,1.8%,5.7%,12.4%
園田,総合ランクオッズ別,F,50.0～99.9,,0.7%,3.9%,8.5%
園田,総合ランクオッズ別,F,100.0～,,0.3%,1.3%,3.1%
園田,総合ランクオッズ別,G,4.0～4.9,,50.0%,50.0%,50.0%
園田,総合ランクオッズ別,G,5.0～6.9,,0.0%,20.0%,40.0%
園田,総合ランクオッズ別,G,7.0～9.9,,13.3%,13.3%,13.3%
園田,総合ランクオッズ別,G,10.0～14.9,,6.1%,18.2%,24.2%
園田,総合ランクオッズ別,G,15.0～19.9,,2.2%,8.9%,13.3%
園田,総合ランクオッズ別,G,20.0～29.9,,3.6%,9.8%,15.2%
園田,総合ランクオッズ別,G,30.0～49.9,,0.7%,4.8%,9.2%
園田,総合ランクオッズ別,G,50.0～99.9,,0.6%,2.0%,5.4%
園田,総合ランクオッズ別,G,100.0～,,0.2%,0.6%,1.9%
門別,総合ランクオッズ別,SSS,1.0～1.4,,75.0%,87.8%,91.9%
門別,総合ランクオッズ別,SSS,1.5～1.9,,48.0%,69.1%,84.6%
門別,総合ランクオッズ別,SSS,2.0～2.9,,38.6%,65.3%,76.2%
門別,総合ランクオッズ別,SSS,3.0～,,16.7%,38.9%,61.1%
門別,総合ランクオッズ別,SS,1.0～1.9,,61.4%,80.6%,87.0%
門別,総合ランクオッズ別,SS,2.0～2.9,,30.9%,54.2%,72.7%
門別,総合ランクオッズ別,SS,3.0～,,19.5%,44.3%,61.4%
